"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Charlie Blackmon","COL","138","595","533","148","28","4","18","80","76","48","101","8","3","2","",".277",".344",".448",".793",".341","","-2.0","-0.8","","0.7","","239.2","7859"
"Jarren Duran","BOS","115","497","455","115","21","5","13","58","49","31","126","6","19","6","",".253",".308",".403",".711",".307","","-0.4","0.8","","0.7","","413.5","24617"
"Brett Gardner","","94","406","349","79","15","4","10","45","39","47","91","3","4","1","",".226",".321",".370",".691",".305","","-0.5","0.4","","0.7","","598.6","9927"
"Pavin Smith","ARI","112","483","435","115","22","4","11","56","48","40","89","3","2","1","",".264",".327",".409",".736",".319","","-0.3","-0.9","","0.7","","387.5","19892"
"Josh VanMeter","ARI","83","357","311","72","18","2","11","42","41","40","89","3","6","3","",".232",".322",".405",".727",".316","","-1.0","-0.5","","0.6","","593.1","15170"
"Jurickson Profar","SDP","115","497","434","105","22","2","12","59","52","50","76","7","11","4","",".241",".328",".383",".711",".312","","-1.2","0.5","","0.6","","496.4","10815"
"Oscar Mercado","CLE","65","280","252","61","13","1","7","33","28","21","54","3","9","3","",".244",".309",".389",".698",".304","","1.7","0.7","","0.6","","586.0","16375"
"Bradley Zimmer","CLE","79","343","298","66","11","1","8","41","33","29","119","12","12","4","",".221",".314",".349",".663",".295","","2.2","0.8","","0.6","","465.1","16221"
"Alek Thomas","ARI","39","168","152","40","8","3","4","20","18","12","35","2","4","2","",".266",".326",".429",".755",".326","","0.1","-0.3","","0.6","","547.1","sa3006892"
"Yoshi Tsutsugo","PIT","123","532","458","105","22","1","20","64","62","63","129","3","1","1","",".230",".324",".413",".737",".320","","-0.1","-0.9","","0.6","","367.4","27459"
"Hunter Dozier","KCR","117","504","451","106","23","5","17","56","57","44","136","4","5","3","",".236",".308",".424",".732",".315","","-2.7","-0.8","","0.6","","385.4","15117"
"TJ Friedl","CIN","73","315","278","71","11","3","8","37","31","26","55","6","8","3","",".254",".330",".402",".731",".318","","-1.6","0.0","","0.6","","600.6","19522"
"Josh Naylor","CLE","58","252","230","61","13","1","9","29","30","19","44","2","1","1","",".265",".324",".439",".763",".327","","-1.4","-0.2","","0.6","","568.5","18839"
"Sam Hilliard","COL","102","441","397","91","17","3","20","55","57","37","143","2","10","3","",".229",".297",".441",".739",".313","","0.5","0.6","","0.5","","418.9","17954"
"Alex Dickerson","","68","294","265","67","13","2","11","37","38","22","67","5","1","0","",".252",".320",".441",".760",".325","","-1.4","-0.3","","0.5","","598.6","12649"
"Brett Phillips","TBR","52","224","193","37","6","3","7","28","24","26","82","1","9","2","",".192",".290",".362",".651",".286","","3.1","1.0","","0.5","","595.9","14735"
"Travis Swaggerty","PIT","49","210","188","46","7","1","5","23","19","18","50","1","6","2","",".244",".311",".375",".686",".300","","1.0","0.1","","0.5","","597.0","sa3007512"
"Leody Taveras","TEX","45","196","176","40","7","1","5","23","19","16","51","1","7","2","",".225",".291",".375",".666",".289","","1.7","0.4","","0.5","","533.6","18900"
"Matt Vierling","PHI","117","504","456","114","20","3","14","57","54","33","114","6","10","4","",".250",".307",".397",".704",".304","","2.3","0.1","","0.5","","558.6","21558"
"Jackie Bradley Jr.","BOS","91","392","349","76","19","2","9","44","39","31","108","7","6","2","",".217",".293",".364",".657",".287","","1.4","0.5","","0.5","","579.7","12984"
"Dominic Smith","NYM","96","413","374","95","21","1","13","46","54","28","95","6","2","1","",".254",".315",".419",".733",".316","","-1.4","-0.8","","0.5","","434.3","15653"
"Stephen Piscotty","OAK","128","553","503","119","25","1","18","57","65","38","134","6","4","1","",".237",".296",".397",".693",".300","","-1.8","0.0","","0.5","","598.9","13367"
"Vidal Bruján","TBR","39","168","153","36","8","1","3","20","17","12","30","1","12","4","",".238",".297",".361",".658",".288","","0.4","0.7","","0.5","","338.3","20536"
"Cooper Hummel","ARI","42","182","155","38","7","2","5","23","20","22","42","3","2","1","",".243",".346",".410",".756",".331","","0.1","-0.2","","0.5","","999.0","sa918412"
"Michael Hermosillo","CHC","41","175","154","35","6","1","7","22","22","14","52","5","4","2","",".231",".314",".422",".736",".319","","0.3","0.0","","0.5","","599.0","16285"
"Brent Rooker","MIN","65","280","245","54","12","1","13","35","36","25","92","6","1","1","",".220",".307",".435",".742",".319","","-2.0","-0.3","","0.4","","600.0","19627"
"Lars Nootbaar","STL","76","329","294","74","9","2","11","39","37","30","66","2","5","3","",".250",".321",".404",".725",".312","","0.8","-0.6","","0.4","","556.4","21454"
"Nick Senzel","CIN","52","224","202","52","11","2","6","28","23","18","45","1","6","3","",".259",".322",".418",".740",".320","","-0.1","-0.5","","0.4","","468.9","19293"
