"","Name","Team","position","marginal_total_points","dollar_value","auction_value","status"
"285","Jeff Hoffman","CIN","pitcher",-1.3,-2.97,-4.53131214437543,""
"286","Manuel Rodríguez","CHC","pitcher",-1.3,-2.98,-4.54656908762249,""
"287","Kolby Allard","TEX","pitcher",-1.32,-3.01,-4.59233991736366,""
"288","Niko Goodrum",NA,"ss",-0.889447896585087,-3.01207145463742,-4.59550032394786,""
"289","Luis Gil","NYY","pitcher",-1.32,-3.02,-4.60759686061071,""
"290","Jeurys Familia",NA,"pitcher",-1.34,-3.06,-4.66862463359893,""
"291","Sam Howard","PIT","pitcher",-1.35,-3.07,-4.68388157684599,""
"292","Joe Jiménez","DET","pitcher",-1.35,-3.07,-4.68388157684599,""
"293","Edmundo Sosa","STL","2b, ss",-0.910540301783654,-3.08349984504924,-4.70447821382202,""
"294","Andy Ibáñez","TEX","2b",-0.91338135629962,-3.09312093611198,-4.71915705785392,""
"295","Darwinzon Hernandez","BOS","pitcher",-1.38,-3.11,-4.74490934983421,""
"296","J.B. Wendelken","ARI","pitcher",-1.39,-3.15,-4.80593712282243,""
"297","Andrew Wantz","LAA","pitcher",-1.4,-3.16,-4.82119406606949,""
"298","Sean Doolittle",NA,"pitcher",-1.4,-3.16,-4.82119406606949,""
"299","Adam Cimber","TOR","pitcher",-1.4,-3.16,-4.82119406606949,""
"300","Seranthony Domínguez","PHI","pitcher",-1.41,-3.17,-4.83645100931654,""
"301","Dillon Tate","BAL","pitcher",-1.44,-3.23,-4.92799266879887,""
"302","Chad Kuhl",NA,"pitcher",-1.44,-3.23,-4.92799266879887,""
"303","Willians Astudillo",NA,"1b, 3b, catcher",-3.90805222606151,-3.23442620815287,-4.93474570945767,""
"304","Josh VanMeter","ARI","2b, of",-0.960091427880817,-3.25130229085347,-4.96049345305724,""
"305","Zack Littell","SFG","pitcher",-1.46,-3.26,-4.97376349854004,""
"306","Ryan Brasier","BOS","pitcher",-1.46,-3.26,-4.97376349854004,""
"307","Yusmeiro Petit",NA,"pitcher",-1.46,-3.26,-4.97376349854004,""
"308","Colton Welker","COL","1b, 3b",-0.967375268515279,-3.2759686580903,-4.99812678956157,""
"309","Drew Smith","NYM","pitcher",-1.47,-3.28,-5.00427738503415,""
"310","William Contreras","ATL","catcher",-3.92735217786806,-3.29978454351526,-5.03446255079227,""
"311","Nick Wittgren","CLE","pitcher",-1.48,-3.3,-5.03479127152826,""
